clientIP_s,In CIDR Range
221.194.137.102,yes
221.194.158.219,yes
60.210.20.5,yes
18.143.202.122,no
124.134.127.68,yes
18.143.202.179,no
18.143.202.159,no
18.143.202.224,no
18.143.202.114,no
18.143.202.177,no
221.194.158.164,yes
60.210.20.4,yes
60.221.220.117,yes
18.143.202.229,no
60.221.202.28,yes
221.194.158.211,yes
51.158.123.129,no
18.143.202.186,no
18.143.202.223,no
18.143.202.216,no
18.143.202.123,no
51.15.251.43,no
51.158.69.32,no
212.47.227.78,no
51.15.200.2,no
51.15.251.38,no
18.143.202.178,no
18.143.202.204,no
18.143.202.203,no
212.47.249.96,no
18.143.202.174,no
18.143.202.185,no
60.210.20.29,yes
218.91.224.52,yes
218.91.224.132,yes
221.194.158.157,yes
18.143.202.184,no
51.158.77.72,no
36.156.80.21,yes
51.158.120.110,no
36.156.80.14,yes
60.210.20.247,yes
122.228.16.63,yes
78.153.140.179,no
122.228.16.62,yes
18.143.202.170,no
218.91.224.158,yes
18.143.202.192,no
222.138.6.108,yes
51.15.253.77,no
78.153.140.224,no
125.17.108.32,no
51.158.77.106,no
221.194.158.94,yes
204.76.203.208,no
51.158.99.170,no
222.138.5.110,yes
120.92.93.195,no
47.236.76.100,no
51.158.102.150,no
122.224.10.174,yes
51.158.119.71,no
60.221.202.7,yes
164.52.24.180,no
51.158.68.86,no
78.153.140.177,no
120.136.21.248,no
148.153.45.235,no
196.251.70.87,no
35.195.241.97,no
148.153.56.58,no
60.221.202.22,yes
60.221.202.14,yes
18.143.202.30,no
79.124.58.198,no
104.234.115.153,no
34.22.197.110,no
34.78.69.184,no
60.221.220.102,yes
34.77.21.148,no
34.76.30.111,no
185.242.226.159,no
104.155.40.111,no
34.79.135.67,no
194.50.16.252,no
35.205.128.136,no
18.143.202.227,no
87.121.84.16,no
3.130.96.91,no
34.38.103.154,no
86.54.31.40,no
18.143.202.28,no
115.152.254.76,yes
34.140.220.111,no
104.155.20.12,no
35.189.229.15,no
64.226.77.33,no
118.26.36.171,no
78.153.140.151,no
122.224.10.165,yes
112.124.47.57,no
115.152.253.78,yes
152.32.235.85,no
34.140.249.122,no
118.123.105.37,yes
170.64.154.53,no
20.66.94.198,no
104.42.106.192,no
18.143.202.35,no
65.49.20.67,no
40.125.41.17,no
162.213.0.219,no
198.55.98.76,no
35.203.210.147,no
172.184.131.229,no
18.143.202.29,no
60.210.20.123,yes
148.153.56.62,no
20.245.177.35,no
172.184.128.139,no
138.68.153.47,no
20.245.193.66,no
18.143.202.36,no
34.76.248.25,no
18.143.202.41,no
51.15.246.252,no
121.237.36.31,no
34.76.0.248,no
3.134.148.59,no
121.237.36.27,no
185.12.59.118,no
3.137.73.221,no
152.32.207.42,no
51.158.100.122,no
216.218.206.66,no
34.22.151.137,no
18.143.202.32,no
18.143.202.33,no
123.160.223.74,no
139.59.4.72,no
18.143.202.46,no
178.62.122.56,no
134.199.217.221,no
134.199.149.218,no
178.128.239.113,no
104.234.115.187,no
104.155.98.37,no
45.140.17.107,no
206.189.1.9,no
180.163.220.100,no
150.107.38.251,no
64.227.2.140,no
51.15.202.174,no
165.22.153.172,no
138.197.144.92,no
107.170.70.19,no
209.38.243.209,no
121.237.36.30,no
45.135.193.65,no
163.172.172.163,no
3.138.185.30,no
3.131.215.38,no
167.99.152.40,no
34.22.205.203,no
18.143.202.195,no
206.168.34.70,no
35.240.9.21,no
130.211.108.162,no
185.93.89.118,no
167.94.146.58,no
3.107.104.139,no
162.142.125.205,no
193.32.162.157,no
162.142.125.211,no
180.163.220.52,no
123.160.223.75,no
167.94.146.53,no
64.62.156.149,no
206.168.34.199,no
196.251.70.216,no
167.94.138.48,no
18.143.202.200,no
206.168.34.94,no
182.132.32.109,yes
18.143.202.44,no
162.142.125.220,no
164.90.214.241,no
206.168.34.91,no
18.143.202.109,no
167.94.146.49,no
18.143.202.105,no
167.94.146.51,no
35.187.8.174,no
122.224.10.166,yes
121.237.36.29,no
199.45.155.99,no
81.17.21.242,no
218.91.224.100,yes
121.50.35.108,no
66.240.205.34,no
18.143.202.103,no
34.78.212.118,no
18.143.202.39,no
34.52.158.102,no
124.134.127.79,yes
35.195.218.190,no
123.6.49.17,no
20.98.140.180,no
185.189.182.234,no
117.177.246.101,yes
222.175.106.142,no
34.78.243.22,no
123.6.49.9,no
91.238.181.10,no
123.160.223.73,no
18.143.202.42,no
20.65.194.121,no
128.24.90.223,no
101.199.254.200,no
35.195.252.26,no
180.163.220.124,no
80.94.95.150,no
64.41.200.111,no
206.168.34.88,no
198.211.98.196,no
111.7.106.107,no
218.91.224.108,yes
180.163.220.50,no
18.143.202.43,no
60.221.202.29,yes
81.70.0.33,no
180.163.220.43,no
123.160.223.72,no
180.163.220.95,no
123.6.49.14,no
123.6.49.42,no
180.163.220.46,no
35.205.72.200,no
164.92.163.240,no
34.34.132.221,no
64.41.200.106,no
20.102.98.235,no
35.233.31.176,no
178.159.37.112,no
37.221.67.116,no
182.242.139.223,yes
118.123.105.45,yes
34.140.38.148,no
65.49.1.80,no
34.79.214.116,no
18.143.202.173,no
40.124.116.246,no
20.171.8.182,no
192.3.101.25,no
65.49.1.132,no
65.49.1.136,no
27.115.124.97,no
27.115.124.41,no
125.77.136.38,yes
123.6.49.41,no
20.65.193.190,no
196.251.117.9,no
180.163.220.112,no
27.115.124.34,no
159.65.21.110,no
18.143.202.37,no
64.62.156.10,no
34.38.134.164,no
20.221.71.226,no
87.121.84.34,no
20.106.196.4,no
176.65.138.171,no
20.65.192.207,no
64.41.200.112,no
2.18.62.214,yes
20.163.15.93,no
162.216.150.50,no
60.210.20.119,yes
13.221.226.155,no
64.62.156.19,no
147.185.132.48,no
172.236.228.208,no
64.62.156.17,no
139.99.35.40,no
20.98.128.249,no
45.156.130.46,no
4.239.110.168,no
107.22.129.53,no
123.178.210.88,no
36.156.80.52,yes
65.49.1.90,no
65.49.1.89,no
13.86.113.214,no
65.49.1.86,no
180.163.220.61,no
18.143.202.101,no
64.226.70.170,no
130.131.33.143,no
101.199.254.206,no
180.163.220.60,no
180.163.220.42,no
123.6.49.10,no
104.152.52.217,no
123.6.49.46,no
198.235.24.125,no
18.143.202.208,no
34.22.221.223,no
45.79.128.205,no
34.76.34.183,no
161.97.167.152,no
71.6.232.28,no
18.143.202.165,no
194.187.179.89,no
111.229.69.139,no
162.216.149.107,no
20.15.164.68,no
45.155.91.226,no
45.156.129.57,no
194.187.179.71,no
65.49.1.139,no
52.91.227.38,no
71.6.199.65,no
18.143.202.196,no
13.221.195.2,no
147.185.132.106,no
47.237.115.100,no
185.180.140.103,no
138.246.253.24,no
20.65.193.168,no
45.156.130.17,no
91.196.152.216,no
195.184.76.200,no
20.65.193.203,no
146.148.7.25,no
18.143.202.206,no
103.203.59.1,no
101.199.254.239,no
101.199.254.238,no
20.163.15.177,no
40.76.224.117,no
18.143.202.31,no
34.53.72.231,no
20.65.144.90,no
205.210.31.44,no
111.227.78.3,no
18.143.202.214,no
64.62.156.147,no
195.184.76.4,no
20.84.153.129,no
193.46.255.77,no
45.156.128.47,no
185.247.137.210,no
198.235.24.134,no
101.198.0.187,no
172.178.115.83,no
4.155.4.54,no
45.61.141.22,no
172.174.236.56,no
149.57.180.83,no
34.228.39.156,no
196.251.72.29,no
40.80.204.149,no
64.62.156.143,no
194.187.179.133,no
150.255.100.224,no
27.115.124.5,no
27.115.124.33,no
172.203.234.251,no
20.65.138.21,no
223.199.189.177,no
222.138.5.102,yes
20.65.194.2,no
20.169.80.121,no
20.84.145.61,no
65.49.1.85,no
162.216.149.202,no
34.22.139.150,no
165.22.26.252,no
20.169.105.13,no
74.235.121.114,no
46.101.98.61,no
36.156.80.5,yes
35.203.210.243,no
180.163.220.99,no
180.163.220.41,no
45.33.12.122,no
180.163.220.62,no
27.115.124.49,no
185.170.144.3,no
198.235.24.115,no
196.251.83.25,no
18.143.202.38,no
121.237.36.28,no
65.49.1.138,no
13.86.116.162,no
205.210.31.99,no
162.216.150.16,no
193.105.134.143,no
20.38.33.240,no
45.156.130.8,no
45.156.128.43,no
162.216.150.162,no
159.89.237.190,no
122.224.10.36,yes
18.143.202.45,no
48.217.87.78,no
112.124.57.213,no
135.119.169.92,no
169.150.201.20,no
205.210.31.26,no
185.244.36.140,no
66.249.77.194,no
121.43.117.214,no
20.203.43.236,no
20.221.72.102,no
45.156.130.45,no
34.22.164.219,no
34.38.147.151,no
20.168.0.218,no
180.163.220.110,no
112.124.38.136,no
87.236.176.59,no
112.124.38.235,no
111.7.96.157,no
198.235.24.239,no
111.7.96.156,no
18.220.154.78,no
18.143.202.27,no
121.199.163.151,no
44.247.2.146,no
205.210.31.33,no
4.155.210.27,no
34.79.208.213,no
196.251.88.60,no
196.251.80.2,no
64.62.197.7,no
112.94.252.57,no
36.32.3.129,no
64.62.197.5,no
143.198.204.165,no
121.29.51.28,no
3.94.114.20,no
121.43.117.140,no
64.62.197.13,no
15.235.227.163,no
180.163.220.51,no
135.237.126.230,no
35.205.208.255,no
218.91.224.85,yes
180.163.220.101,no
64.62.156.150,no
104.167.221.114,no
121.41.75.120,no
111.7.96.177,no
112.124.53.123,no
60.210.20.122,yes
18.143.202.116,no
23.32.20.195,yes
20.163.2.188,no
57.151.98.124,no
101.198.0.180,no
101.198.0.182,no
101.198.0.156,no
60.210.20.45,yes
66.249.77.192,no
198.235.24.57,no
198.235.24.137,no
135.119.16.170,no
111.7.96.152,no
123.160.221.141,no
54.224.118.44,no
64.62.197.11,no
45.88.91.163,no
195.184.76.25,no
205.210.31.205,no
64.62.197.8,no
64.62.197.2,no
20.65.193.198,no
60.210.20.244,yes
20.106.49.2,no
123.160.221.135,no
74.249.184.13,no
112.124.11.25,no
8.212.171.0,no
47.99.100.132,no
147.185.133.158,no
194.187.179.105,no
67.205.150.197,no
205.210.31.146,no
46.19.142.154,no
20.55.90.128,no
91.231.89.215,no
121.41.169.100,no
64.62.156.15,no
64.62.156.14,no
18.143.202.34,no
